"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28186","Navigating to WhiteSandals","webkit","Sun Aug 24 16:54:39 IST 2025","passed","Sun Aug 24 16:55:08 IST 2025","navigation catalog tests","navigationCatalogtest.spec.js","",""
"","16824","[Details] User should see correct product info when clicking on Black heels","chromium","Sun Aug 24 16:44:47 IST 2025","passed","Sun Aug 24 16:45:04 IST 2025","Catalog Test Suite","catalog.spec.js","",""
"","4033","Homepage loads correctly with title","firefox","Sun Aug 24 16:49:33 IST 2025","passed","Sun Aug 24 16:49:37 IST 2025","","homePageTitle.spec.js","",""
"","21046","Verify Shopify link redirects correctly","firefox","Sun Aug 24 16:46:13 IST 2025","passed","Sun Aug 24 16:46:34 IST 2025","Shopify Blog Tests","blogstest.spec.js","",""
"","8819","noir jacket image is visible after clicking","webkit","Sun Aug 24 16:52:24 IST 2025","passed","Sun Aug 24 16:52:33 IST 2025","","cartTest.spec.js","",""
"","15706","is the grey shirt added to the cart","chromium","Sun Aug 24 16:44:16 IST 2025","passed","Sun Aug 24 16:44:31 IST 2025","","cartTest.spec.js","",""
"","9092","search","firefox","Sun Aug 24 16:48:30 IST 2025","passed","Sun Aug 24 16:48:39 IST 2025","About us page","footerTest.spec.js","",""
"","15038","Forgot password invalid email validation @Aastha","chromium","Sun Aug 24 16:45:08 IST 2025","passed","Sun Aug 24 16:45:23 IST 2025","","forgotPassword.spec.js","",""
"","19571","Testing the remove button","firefox","Sun Aug 24 16:46:43 IST 2025","passed","Sun Aug 24 16:47:03 IST 2025","","cartTest.spec.js","",""
"","7234","Navigating to WhiteSandals","firefox","Sun Aug 24 16:49:37 IST 2025","passed","Sun Aug 24 16:49:44 IST 2025","navigation catalog tests","navigationCatalogtest.spec.js","",""
"","12857","Testing the cart produnct quantity count","chromium","Sun Aug 24 16:44:19 IST 2025","passed","Sun Aug 24 16:44:32 IST 2025","","cartTest.spec.js","",""
"","15154","User should see correct product info when clicking on Black heels","chromium","Sun Aug 24 16:44:55 IST 2025","passed","Sun Aug 24 16:45:10 IST 2025","Catalog Test Suite","catalog.spec.js","",""
"","9336","User should see correct product info when clicking on Black heels","firefox","Sun Aug 24 16:48:21 IST 2025","passed","Sun Aug 24 16:48:30 IST 2025","Catalog Test Suite","catalog.spec.js","",""
"","26852","Testing the remove button","chromium","Sun Aug 24 16:44:20 IST 2025","passed","Sun Aug 24 16:44:47 IST 2025","","cartTest.spec.js","",""
"","21651","[Products] Catalog page should display all expected products","webkit","Sun Aug 24 16:53:18 IST 2025","passed","Sun Aug 24 16:53:39 IST 2025","Catalog Test Suite","catalog.spec.js","",""
"","15843","[Navigation] User should be able to navigate to a product page from catalog","chromium","Sun Aug 24 16:44:51 IST 2025","passed","Sun Aug 24 16:45:07 IST 2025","Catalog Test Suite","catalog.spec.js","",""
"","9150","Navigate from About Us page to Home page via breadcrumb","webkit","Sun Aug 24 16:51:22 IST 2025","passed","Sun Aug 24 16:51:31 IST 2025","","breadcrumbNavToHome.spec.js","",""
"","8048","Header link ""About Us"" should be visible and clickable","chromium","Sun Aug 24 16:45:14 IST 2025","passed","Sun Aug 24 16:45:22 IST 2025","Header Links Tests","headersTest.spec.js","",""
"","14899","Verify ecommerce blog link opens new tab","firefox","Sun Aug 24 16:45:34 IST 2025","passed","Sun Aug 24 16:45:49 IST 2025","Shopify Blog Tests","blogstest.spec.js","",""
"","7813","Header link ""Check Out"" should be visible and clickable","chromium","Sun Aug 24 16:45:22 IST 2025","passed","Sun Aug 24 16:45:30 IST 2025","Header Links Tests","headersTest.spec.js","",""
"","8546","noir jacket image is visible after clicking","chromium","Sun Aug 24 16:44:16 IST 2025","passed","Sun Aug 24 16:44:24 IST 2025","","cartTest.spec.js","",""
"","19533","verify the cart item count when user remove the products","chromium","Sun Aug 24 16:44:31 IST 2025","passed","Sun Aug 24 16:44:51 IST 2025","","cartTest.spec.js","",""
"","8760","[Details] User should see correct product info when clicking on Black heels","webkit","Sun Aug 24 16:53:18 IST 2025","passed","Sun Aug 24 16:53:27 IST 2025","Catalog Test Suite","catalog.spec.js","",""
"","4901","Header link ""Search"" should be visible and clickable","chromium","Sun Aug 24 16:45:12 IST 2025","passed","Sun Aug 24 16:45:17 IST 2025","Header Links Tests","headersTest.spec.js","",""
"","5896","Navigate from About Us page to Home page via breadcrumb","chromium","Sun Aug 24 16:44:01 IST 2025","passed","Sun Aug 24 16:44:07 IST 2025","","breadcrumbNavToHome.spec.js","",""
"","11493","[Products] Catalog page should display all expected products","firefox","Sun Aug 24 16:48:06 IST 2025","passed","Sun Aug 24 16:48:18 IST 2025","Catalog Test Suite","catalog.spec.js","",""
